egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
44869,Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,40.0,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.1666667,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,3.0
43516,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
89411,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
74285,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
56527,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
16819,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
34591,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,25.0,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,2.4166667,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,2.6666667
89972,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
92552,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,44.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,2.1666667,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.1666667
73158,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,2.0,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
45963,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,30.0,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,3.3333333,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,3.5
22138,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,42.0,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,1.9166666,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,2.8333333
90136,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
46744,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
77941,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,45.0,Neutral,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,2.0,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,3.0
44873,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,41.0,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.1666667,Agree,Disagree,Agree,Disagree,Agree,Agree,3.0
36540,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
14527,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
83005,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,27.0,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,2.75,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.0
31439,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,39.0,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,2.9166667,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.5
21899,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
29232,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
32249,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,49.0,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,2.9166667,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,3.5
45375,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
25536,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
32037,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
90476,,,,,,,,,,,38.0,,,,,,,,,,,,,2.25,,,,,,,3.3333333
46558,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,35.0,Disagree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,2.25,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.5
