egoid,Extraversion_6,Agreeableness_6,Conscientiousness_6,Neuroticism_6,Openness_6
44869,3.0,3.5555556,2.6666667,3.125,2.5555556
43516,2.7916666666666665,3.333333333333333,3.1851852,3.125,3.333333333333333
89411,3.5,4.296296266666666,3.6666666666666665,3.0416666666666665,3.8888889
74285,3.8333333333333335,3.8148148,3.3703704,2.5,3.666666733333333
56527,3.333333333333333,3.370370333333333,3.4814814666666667,3.0,3.7407408
16819,3.625,3.7407407666666663,3.0,2.4166666666666665,3.2592593
34591,3.4166666666666665,3.5185185333333333,3.333333333333333,2.708333333333333,2.962963033333333
89972,3.375,3.8888887666666654,3.7407407666666663,3.0416666666666665,3.888888933333333
92552,3.5,4.2222223,4.2222223,2.875,3.4444444
73158,3.5,4.2222223,4.2222223,1.875,3.3333333
45963,3.75,4.5555553,3.4444444,3.75,3.8888888
22138,3.625,3.2222223,3.5555556,3.125,3.7777777
90136,3.875,4.037036966666666,3.3703704,3.208333333333333,3.666666766666667
46744,3.083333333333333,3.7777776666666663,3.740740666666667,2.625,3.5925926666666665
77941,4.25,4.5555553,3.8888888,2.0,4.4444447
44873,3.75,4.0,4.0,2.125,2.8888888
36540,3.083333333333333,3.7777777333333336,3.6296296,3.0,3.6666667
14527,2.9166666666666665,3.3703704,2.9629629666666664,2.458333333333333,3.333333333333333
83005,3.375,3.4444444,3.5555556,3.375,3.4444444
31439,3.0,2.8888888,3.0,3.125,3.0
21899,2.0,3.8888888,3.5555556,2.625,2.7777777
29232,3.125,3.2592593,3.0370370666666666,3.0,3.148148133333333
32249,3.333333333333333,3.555555566666667,3.296296266666667,2.583333333333333,3.5185185333333333
45375,3.083333333333333,3.6666666666666665,3.3703703666666667,2.5416666666666665,3.3703704
25536,2.7916666666666665,3.5925926333333336,3.4444444,2.875,3.814814733333333
32037,3.083333333333333,3.629629633333333,3.148148133333333,3.208333333333333,3.5185185666666663
90476,3.583333333333333,4.037036966666666,3.888889,2.333333333333333,3.629629633333333
46558,2.25,3.7777777,3.2222223,2.875,3.2222223
24016,3.083333333333333,3.3333333999999994,3.0,2.708333333333333,3.444444433333333
52277,2.625,3.4444445,3.148148133333333,3.0,3.703703633333333
93699,3.0,3.8888888,2.8888888,3.75,3.6666667
36875,3.25,4.5555553,4.7777777,3.0,3.3333333
84011,2.375,3.6666667,4.0,2.75,3.0
90646,4.875,4.7777777,4.0,3.75,4.4444447
88008,2.75,3.5555556,2.7777777,3.0,3.7777777
88967,3.25,3.8518517666666665,3.5185185000000003,2.708333333333333,3.6666666666666665
46701,2.958333333333333,3.703703733333333,3.1620370333333336,2.583333333333333,3.814814866666667
83566,2.25,3.8888888,3.5555556,3.5,2.5555556
21090,3.125,4.3333335,4.2222223,2.125,4.1111112
69419,3.083333333333333,4.037037033333333,3.4814814666666667,2.625,3.740740666666667
87032,3.333333333333333,3.8518517666666665,3.555555566666667,2.708333333333333,3.5185185333333333
94641,2.625,3.8888888,4.0,2.75,4.4444447
82728,2.0,4.3333335,4.3333335,3.5,3.1111112
45076,3.0,3.1111112,4.3333335,2.5,3.3333333
58437,4.375,3.8888888,3.1111112,1.625,3.3333333
94862,3.2916666666666665,3.9629628333333335,4.000000066666667,2.333333333333333,3.5185185333333333
14606,2.875,4.2222223,4.4444447,1.875,3.1111112
64075,3.875,4.2222223,3.5555556,2.625,4.2222223
39787,3.125,3.3703704,3.1111110666666666,2.7916666666666665,3.4444445
82376,3.1666666666666665,4.111110966666667,4.4444444,2.5416666666666665,3.9259259666666666
44872,3.5,4.2222223,3.5555556,2.125,3.5555556
87783,3.25,4.0,3.851851833333333,2.5416666666666665,4.296296366666667
22199,2.833333333333333,3.0370370666666666,3.1851852,3.208333333333333,3.0370370666666666
